,POSIÇÃO,NOME,TIME,JOGOS,PREÇO,MÉDIA,MÍNIMO
106,GOL,Weverton,PAL,10,10.58,4.6,1.46
351,GOL,Ronaldo,ACG,11,5.46,3.74,1.08
188,GOL,João Paulo,SAN,12,12.92,3.85,2.36
265,GOL,Tadeu,GOI,13,7.05,3.98,1.19
344,GOL,Cleiton,BGT,12,9.53,3.92,2.1
61,GOL,Cássio,COR,11,12.23,5.93,5.86
421,LAT,Piquerez,PAL,8,7.55,6.46,1.43
485,LAT,Abner Vinícius,CAP,12,7.29,4.1,1.01
346,LAT,Ayrton Lucas,FLA,9,6.96,4.9,3.36
103,LAT,Renê,INT,9,6.91,4.31,2.31
350,LAT,Aderlan,BGT,8,7.87,3.64,3.58
419,LAT,Matheuzinho,FLA,9,6.85,4.36,1.34
276,LAT,Rafael Ramos,COR,9,8.6,5.86,3.95
466,LAT,Matheus Alexandre,CFC,9,8.85,5.38,3.43
479,LAT,Lucas Piton,COR,10,15.21,6.86,4.44
126,LAT,Raúl Cáceres,AME,9,4.77,3.65,0.83
301,ZAG,Nathan Silva,CAM,8,9.28,4.19,3.97
482,ZAG,Vitor Mendes,JUV,8,4.57,4.09,-0.03
95,ZAG,Maicon,SAN,10,12.4,4.11,3.94
129,ZAG,Gustavo Gómez,PAL,8,16.32,9.49,6.92
383,ZAG,Eduardo Bauermann,SAN,10,8.83,3.53,1.35
538,ZAG,Natan,BGT,8,8.05,5.16,0.93
442,MEI,Terans,CAP,12,9.53,4.91,2.6
649,MEI,Adson,COR,9,8.52,5.26,4.89
413,MEI,Hugo Moura,CAP,9,6.96,3.72,2.77
543,MEI,Patrick de Paula,BOT,9,6.93,3.79,2.85
544,MEI,Gomes,FLA,9,11.25,4.87,4.61
612,MEI,Gustavo Mantuan,COR,11,9.93,5.0,3.48
626,MEI,André,FLU,10,7.11,3.81,3.73
174,MEI,Alê,AME,9,8.15,4.09,-0.89
145,MEI,Jadson,JUV,11,7.77,3.61,-0.09
184,MEI,Elvis,GOI,11,6.79,3.64,0.11
201,MEI,Jair,CAM,11,8.23,4.51,4.15
42,MEI,Everton Ribeiro,FLA,12,8.33,4.21,3.01
7,MEI,Willian Farias,CFC,10,7.68,3.54,2.84
741,MEI,Hércules,FOR,9,4.22,3.75,1.59
59,MEI,Apodi,GOI,9,6.62,3.51,3.39
330,MEI,Arrascaeta,FLA,9,17.93,8.4,2.86
363,MEI,José Welison,FOR,9,5.63,3.71,3.61
659,MEI,Rubens,CAM,10,6.38,4.89,4.51
221,ATA,Rony,PAL,12,10.79,5.96,0.51
249,ATA,Calleri,SAO,13,24.63,7.92,3.17
251,ATA,Róger Guedes,COR,11,14.27,4.81,2.76
304,ATA,Everaldo ,AME,8,8.64,4.73,3.41
297,ATA,Wanderson,INT,10,4.1,3.53,0.26
264,ATA,Bruno Henrique,FLA,8,14.9,5.88,5.58
258,ATA,Mendoza,CEA,11,12.99,7.7,3.02
57,ATA,Léo Gamalho,CFC,8,13.05,6.29,0.95
33,ATA,Hulk,CAM,11,20.41,7.63,6.26
22,ATA,Muriqui,AVA,11,10.2,5.75,0.27
16,ATA,Dudu,PAL,12,11.43,4.91,0.87
148,ATA,Luciano,SAO,10,11.18,4.74,1.9
134,ATA,Óscar Ruíz,JUV,8,9.47,5.12,2.97
505,ATA,Igor Paixão,CFC,12,14.4,6.84,1.28
511,ATA,Fabrício,CFC,10,7.53,4.53,2.5
357,ATA,Pedro Raul,GOI,11,8.97,5.55,2.67
366,ATA,Bissoli,AVA,12,8.3,5.58,4.36
396,ATA,Carlos de Pena,INT,12,5.43,3.71,1.14
323,TEC,Rogério Ceni,SAO,13,11.46,4.09,2.99
41,TEC,Vagner Mancini,AME,12,6.92,3.65,2.67
49,TEC,Dorival Júnior,FLA,12,7.64,3.94,2.27
65,TEC,Luiz Felipe Scolari,CAP,8,8.67,4.68,4.4
87,TEC,Eduardo Barroca,AVA,13,7.75,3.54,2.11
622,TEC,Abel Ferreira,PAL,12,13.02,6.71,4.58
112,TEC,Antonio Mohamed,CAM,12,12.75,5.5,5.44
140,TEC,Maurício Barbieri,BGT,12,10.81,4.46,4.21
224,TEC,Gustavo Morínigo,CFC,13,10.88,4.63,2.46
335,TEC,Luís Castro,BOT,13,8.59,3.98,3.55
551,TEC,Fabián Bustos,SAN,12,10.2,4.43,3.74
0,TEC,Mano Menezes,INT,11,8.39,4.59,2.83
