,POSIÇÃO,NOME,TIME,JOGOS,PREÇO,MÉDIA,MÍNIMO
387,GOL,Marcelo Boeck,FOR,8,3.48,2.37,0.35
438,GOL,Luis Felype,GOI,0,1.0,0.0,1.25
102,GOL,Jori,AME,0,3.0,0.0,4.05
446,GOL,John Victor,SAN,1,5.92,8.0,6.49
448,GOL,Vinicius Silvestre,PAL,0,4.0,0.0,5.46
459,GOL,Arthur,JUV,0,1.0,0.0,1.25
475,GOL,Jandrei,SAO,14,8.0,2.96,5.93
90,GOL,Matheus Cavichioli,AME,1,5.33,1.0,1.31
487,GOL,Marcelo Rangel,GOI,0,4.0,0.0,5.46
492,GOL,César,JUV,13,5.71,2.87,10.09
495,GOL,Keiller,INT,0,1.12,-1.0,4.81
500,GOL,Matheus Alves,GOI,0,1.13,-1.0,5.32
523,GOL,William,JUV,0,2.0,0.0,2.65
77,GOL,Everson,CAM,13,10.7,3.46,0.72
75,GOL,Jailson,AME,12,7.43,3.25,6.69
536,GOL,Walter,CUI,12,12.22,4.61,2.7
538,GOL,André,CEA,0,1.0,0.0,1.25
540,GOL,Maycon,BGT,0,2.0,0.0,2.65
564,GOL,João Carlos,CUI,1,3.36,2.0,2.77
612,GOL,Bruno,FLA,0,1.0,0.0,1.25
641,GOL,Young,SAO,0,1.0,0.0,1.25
655,GOL,Anderson,CAP,0,3.0,0.0,4.05
428,GOL,Marcelo Lomba,PAL,2,8.61,9.75,9.36
108,GOL,Airton,AME,1,2.61,6.0,4.33
416,GOL,Diego Alves,FLA,3,6.31,1.0,0.28
406,GOL,Fernando Miguel,FOR,0,7.0,0.0,9.67
198,GOL,Júlio César,BGT,0,5.0,0.0,6.86
210,GOL,João Ricardo,CEA,12,5.28,3.55,0.51
239,GOL,Diego Loureiro,BOT,2,2.06,0.5,2.17
254,GOL,Vinicius Machado,CEA,1,2.81,7.0,4.87
266,GOL,Richard,CEA,0,5.0,0.0,6.86
269,GOL,Alex Muralha,CFC,11,6.74,3.35,1.04
145,GOL,Renan,ACG,0,4.0,0.0,5.46
298,GOL,Ivan,COR,0,6.0,0.0,8.26
143,GOL,Rafael,CAM,0,5.0,0.0,6.86
329,GOL,Matheus Cunha,FLA,0,2.0,0.0,2.65
658,GOL,Max Walef,FOR,5,2.88,1.4,2.29
330,GOL,Igo,BOT,0,1.0,0.0,1.25
337,GOL,Rafael William,CFC,2,0.91,1.5,0.06
349,GOL,Hugo Souza,FLA,9,4.04,1.94,1.69
132,GOL,Ronaldo,ACG,12,5.81,3.68,2.76
353,GOL,Matheus Donelli,COR,2,2.53,0.5,1.74
127,GOL,Bento,CAP,14,7.69,4.66,2.2
362,GOL,Muriel,FLU,0,4.0,0.0,5.46
372,GOL,Lucão,BGT,0,3.0,0.0,4.05
380,GOL,Guilherme,COR,0,2.0,0.0,2.65
400,GOL,Diógenes ,SAN,0,2.0,0.0,2.65
403,GOL,Pedro Rangel,FLU,0,1.0,0.0,1.25
331,GOL,Thiago Couto,SAO,0,2.0,0.0,2.65
669,GOL,Glédson,AVA,0,1.98,-1.0,5.43
177,GOL,Douglas Borges,BOT,0,3.0,0.0,4.05
8,GOL,João Paulo,SAN,12,12.92,3.85,3.62
711,GOL,Kaique,PAL,0,1.0,0.0,1.25
712,GOL,Cássio,AME,0,1.0,0.0,1.25
9,GOL,Gatito Fernández,BOT,12,6.33,2.74,2.46
714,GOL,Robson,AME,0,1.0,0.0,1.25
715,GOL,Gustavo Ramalho,FLU,0,1.0,0.0,1.25
716,GOL,Anthoni,INT,0,1.0,0.0,1.25
761,GOL,João,AVA,0,1.0,0.0,1.25
759,GOL,Gabriel Pereira,CAP,0,1.0,0.0,1.25
720,GOL,Breno,ACG,0,1.0,0.0,1.25
758,GOL,Emerson Júnior,INT,0,1.0,0.0,1.25
13,GOL,Santos,FLA,1,9.97,10.0,8.39
723,GOL,Marcão,CFC,0,1.0,0.0,1.25
725,GOL,Mycael,CAP,0,1.0,0.0,1.25
28,GOL,Felipe Alves,JUV,0,7.0,0.0,9.67
14,GOL,Weverton,PAL,11,10.28,4.18,1.03
15,GOL,Tadeu,GOI,14,8.13,4.2,5.92
731,GOL,Matheus Mendes,CAM,0,2.0,0.0,2.65
757,GOL,Paulo Mazoti,SAN,0,1.0,0.0,1.25
17,GOL,Luan Polli,ACG,2,5.03,2.25,5.92
754,GOL,Vladimir,AVA,5,3.33,2.0,0.7
743,GOL,Mateus,PAL,0,1.0,0.0,1.25
710,GOL,Gabriel Delfim,CAM,0,1.0,0.0,1.25
708,GOL,Cláudio Vitor,AVA,0,1.0,0.0,1.25
751,GOL,Capellari,CUI,0,1.0,0.0,1.25
5,GOL,Marcos Felipe,FLU,0,7.0,0.0,9.67
689,GOL,Douglas Friedrich,AVA,10,7.06,2.17,6.91
2,GOL,Cássio,COR,12,12.41,6.02,6.36
696,GOL,Léo Linck,CAP,0,2.0,0.0,2.65
1,GOL,Cleiton,BGT,13,8.73,3.46,-0.59
6,GOL,Daniel,INT,13,7.05,3.07,1.19
704,GOL,Vinícius,CUI,0,1.0,0.0,1.25
767,GOL,Carlos Miguel,COR,0,1.0,0.0,1.25
208,LAT,Auro,SAN,3,3.81,1.97,5.23
350,LAT,Igor,AVA,0,2.0,0.0,2.65
352,LAT,Matheuzinho,FLA,9,6.85,4.36,2.07
197,LAT,Luan Cândido,BGT,9,9.37,6.86,6.86
285,LAT,Hayner,ACG,11,3.99,2.77,-0.06
342,LAT,Renê,INT,9,6.91,4.31,2.95
196,LAT,Danilo Barcelos,GOI,10,3.44,0.97,3.8
359,LAT,Pineida,FLU,4,4.34,2.05,4.0
192,LAT,Hugo,BOT,11,6.19,3.64,2.67
368,LAT,Juninho Capixaba,FOR,11,6.2,3.91,3.91
370,LAT,Jhonny,FLU,0,1.0,0.0,1.25
180,LAT,Daniel Borges,BOT,13,5.96,2.94,1.06
753,LAT,Orejuela,CAP,4,7.09,6.08,8.86
373,LAT,Lucas Piton,COR,11,15.22,6.66,4.97
357,LAT,Ramon,BGT,4,2.74,1.37,1.58
338,LAT,Reydson,BOT,0,1.0,0.0,1.25
241,LAT,Weverson,BGT,1,3.08,1.0,3.49
770,LAT,Thauan Lara,INT,0,1.0,0.0,1.25
274,LAT,Guilherme,BGT,2,2.0,2.3,1.56
