,POSIÇÃO,NOME,TIME,JOGOS,PREÇO,MÉDIA,MÍNIMO
637,GOL,Léo Linck,CAP,0,2.0,0.0,2.4
585,GOL,Mycael,CAP,0,1.0,0.0,1.21
588,GOL,Diógenes ,SAN,0,2.0,0.0,2.4
590,GOL,Mateus,PAL,0,1.0,0.0,1.21
594,GOL,Paulo Mazoti,SAN,0,1.0,0.0,1.21
94,GOL,Airton,AME,1,2.61,6.0,4.57
596,GOL,Emerson Júnior,INT,0,1.0,0.0,1.21
598,GOL,Capellari,CUI,0,1.0,0.0,1.21
599,GOL,Gabriel Pereira,CAP,0,1.0,0.0,1.21
604,GOL,William,JUV,0,2.0,0.0,2.4
193,GOL,Diego Loureiro,BOT,2,2.06,0.5,2.0
83,GOL,Jori,AME,0,3.0,0.0,3.59
611,GOL,Anderson,CAP,0,3.0,0.0,3.59
199,GOL,Ivan,COR,0,6.0,0.0,7.15
620,GOL,Pedro Rangel,FLU,0,1.0,0.0,1.21
439,GOL,John Victor,SAN,1,5.92,8.0,6.62
624,GOL,Igo,BOT,0,1.0,0.0,1.21
627,GOL,Luis Felype,GOI,0,1.0,0.0,1.21
70,GOL,Matheus Cavichioli,AME,2,6.65,4.5,6.88
638,GOL,Arthur,JUV,0,1.0,0.0,1.21
205,GOL,Douglas Borges,BOT,0,3.0,0.0,3.59
408,GOL,Vinicius Machado,CEA,2,2.64,5.5,3.35
395,GOL,Max Walef,FOR,5,2.88,1.4,2.35
391,GOL,Matheus Alves,GOI,0,1.13,-1.0,4.53
181,GOL,Douglas Friedrich,AVA,11,5.61,1.88,0.03
385,GOL,Marcelo Rangel,GOI,0,4.0,0.0,4.77
463,GOL,Jandrei,SAO,15,7.15,2.83,1.71
576,GOL,Marcão,CFC,0,1.0,0.0,1.21
523,GOL,Gustavo Ramalho,FLU,0,1.0,0.0,1.21
525,GOL,Anthoni,INT,0,1.0,0.0,1.21
534,GOL,Robson,AME,0,1.0,0.0,1.21
135,GOL,Renan,ACG,0,4.0,0.0,4.77
517,GOL,Cássio,AME,0,1.0,0.0,1.21
516,GOL,Kaique,PAL,0,1.0,0.0,1.21
514,GOL,Cláudio Vitor,AVA,0,1.0,0.0,1.21
131,GOL,Bento,CAP,15,9.8,5.22,10.96
511,GOL,Gabriel Delfim,CAM,0,1.0,0.0,1.21
510,GOL,Vinícius,CUI,0,1.0,0.0,1.21
505,GOL,Maycon,BGT,0,2.0,0.0,2.4
553,GOL,Lucão,BGT,0,3.0,0.0,3.59
501,GOL,André,CEA,0,1.0,0.0,1.21
556,GOL,Rafael William,CFC,3,2.95,4.67,8.59
161,GOL,Rafael,CAM,0,5.0,0.0,5.96
499,GOL,João,AVA,0,1.0,0.0,1.21
562,GOL,César,JUV,14,4.06,2.74,1.29
563,GOL,Breno,ACG,0,1.0,0.0,1.21
567,GOL,Thiago Couto,SAO,0,2.0,0.0,2.4
169,GOL,Vladimir,AVA,5,3.33,2.0,1.07
112,GOL,Cássio,COR,13,11.16,5.48,0.74
172,GOL,Matheus Mendes,CAM,0,2.0,0.0,2.4
174,GOL,Glédson,AVA,0,1.98,-1.0,4.78
577,GOL,Carlos Miguel,COR,0,1.0,0.0,1.21
54,GOL,Everson,CAM,14,10.87,3.28,2.21
142,GOL,Ronaldo,ACG,13,4.98,3.24,-0.84
29,GOL,Tadeu,GOI,15,7.66,4.12,3.24
16,GOL,Felipe Alves,JUV,0,7.0,0.0,8.33
15,GOL,Fábio,FLU,15,11.43,4.54,6.74
